,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
112,252,0,0,0,119,0
113,250,0,2,0,161,-2
114,250,0,0,0,200,0
115,250,0,0,0,189,0
116,248,0,2,0,140,-2
117,250,0,0,2,148,2
118,252,0,0,2,117,2
119,253,0,0,1,136,1
120,253,0,0,0,158,0
121,252,1,0,0,166,-1
122,252,0,0,0,203,0
123,254,0,0,2,155,2
124,254,0,0,0,150,0
125,254,0,0,0,122,0
126,255,0,0,1,169,1
127,256,0,0,1,142,1
128,255,0,1,0,171,-1
129,255,0,0,0,197,0
130,255,0,0,0,154,0
131,256,0,0,1,137,1
132,257,0,0,1,144,1
133,257,0,1,1,147,0
134,258,0,0,1,170,1
135,259,1,0,2,151,1
136,260,0,0,1,189,1
137,260,0,0,0,157,0
138,260,0,0,0,161,0
139,259,0,1,0,123,-1
140,258,0,1,0,186,-1
141,258,0,0,0,205,0
142,258,0,0,0,184,0
143,259,0,0,1,144,1
144,260,0,0,1,188,1
145,259,0,2,1,192,-1
146,258,0,1,0,148,-1
147,257,0,2,1,108,-1
148,258,0,0,1,192,1
149,258,0,0,0,154,0
150,258,0,0,0,155,0
151,259,0,0,1,132,1
152,259,0,0,0,165,0
153,260,0,1,2,189,1
154,260,0,0,0,155,0
155,261,0,0,1,178,1
156,260,1,1,1,194,-1
157,259,1,0,0,143,-1
158,259,0,1,1,164,0
159,259,0,0,0,129,0
160,259,0,0,0,204,0
161,260,0,0,1,171,1
162,259,1,0,0,145,-1
163,260,0,0,1,201,1
164,260,0,0,0,181,0
165,260,0,0,0,148,0
166,261,0,0,1,164,1
167,261,0,0,0,162,0
168,261,0,0,0,161,0
169,262,0,1,2,171,1
170,262,0,0,0,170,0
171,262,0,0,0,161,0
172,262,0,0,0,135,0
173,260,2,0,0,152,-2
174,259,1,0,0,202,-1
175,260,0,0,1,150,1
176,260,0,0,0,151,0
177,259,1,1,1,125,-1
178,258,0,1,0,174,-1
179,258,0,0,0,191,0
180,259,0,0,1,142,1
181,259,0,0,0,155,0
182,259,0,0,0,203,0
183,259,0,0,0,145,0
184,259,0,0,0,144,0
185,260,0,0,1,210,1
186,259,0,1,0,188,-1
187,260,0,0,1,137,1
188,258,1,1,0,119,-2
189,258,0,0,0,177,0
190,258,1,0,1,195,0
191,258,0,0,0,153,0
192,259,0,1,2,141,1
193,262,0,0,3,200,3
194,262,0,0,0,159,0
195,261,1,0,0,154,-1
196,261,0,0,0,116,0
197,263,0,0,2,178,2
198,263,0,0,0,204,0
199,263,0,0,0,149,0
200,265,0,0,2,159,2
201,264,0,1,0,182,-1
202,264,1,0,1,151,0
203,264,1,0,1,183,0
204,263,1,1,1,139,-1
205,263,0,1,1,158,0
206,261,1,1,0,202,-2
207,261,1,0,1,189,0
208,262,0,0,1,148,1
209,262,0,0,0,114,0
210,263,0,0,1,217,1
211,262,0,1,0,190,-1
212,262,0,0,0,143,0
213,261,1,1,1,124,-1
214,261,0,0,0,180,0
215,260,1,1,1,194,-1
216,260,0,0,0,135,0
217,261,0,0,1,161,1
218,262,0,0,1,198,1
219,259,3,0,0,157,-3
220,259,0,0,0,153,0
221,260,0,0,1,124,1
222,261,0,0,1,170,1
223,262,0,0,1,140,1
224,262,0,0,0,211,0
225,262,0,0,0,152,0
226,261,1,0,0,152,-1
227,260,1,0,0,135,-1
228,260,0,0,0,178,0
229,260,1,0,1,197,0
230,259,0,1,0,146,-1
231,258,0,1,0,161,-1
232,258,0,0,0,122,0
233,259,0,0,1,175,1
234,259,0,0,0,132,0
235,259,0,0,0,209,0
236,260,0,0,1,164,1
237,259,0,1,0,147,-1
238,256,1,2,0,124,-3
239,256,0,0,0,173,0
240,256,0,1,1,146,0
241,256,0,0,0,168,0
242,257,0,0,1,164,1
243,256,0,1,0,163,-1
244,256,0,0,0,198,0
245,257,0,0,1,189,1
246,257,0,0,0,136,0
247,258,0,0,1,115,1
248,258,0,0,0,187,0
249,259,1,0,2,189,1
250,258,0,1,0,161,-1
251,258,0,0,0,159,0
252,256,1,1,0,156,-2
253,255,1,0,0,172,-1
254,253,1,2,1,117,-2
255,252,1,0,0,161,-1
256,252,0,0,0,113,0
257,252,0,1,1,169,0
258,252,0,0,0,193,0
259,252,1,0,1,153,0
260,252,0,0,0,160,0
261,252,1,0,1,138,0
262,252,0,0,0,171,0
263,252,0,0,0,188,0
264,252,0,0,0,196,0
265,252,0,0,0,157,0
266,252,0,0,0,170,0
267,252,0,0,0,126,0
268,253,0,0,1,160,1
269,253,0,0,0,201,0
270,253,1,1,2,149,0
271,253,0,0,0,127,0
272,253,0,0,0,204,0
273,253,0,0,0,187,0
274,253,0,0,0,132,0
275,253,0,0,0,106,0
276,253,0,0,0,154,0
277,254,0,0,1,182,1
278,254,0,1,1,192,0
279,254,1,0,1,147,0
280,254,0,0,0,168,0
281,255,0,1,2,203,1
282,255,0,0,0,153,0
283,256,0,0,1,141,1
284,257,0,0,1,174,1
285,258,0,0,1,166,1
286,258,0,0,0,158,0
287,257,0,1,0,171,-1
288,257,0,1,1,156,0
289,256,1,0,0,154,-1
290,255,0,1,0,122,-1
291,254,0,1,0,142,-1
292,255,0,0,1,147,1
293,256,0,0,1,165,1
294,256,0,0,0,199,0
295,254,1,1,0,185,-2
